id,date,calories
6775888955,4/17/2016,2067
6962181067,4/17/2016,2027
7007744171,4/17/2016,2383
7086361926,4/17/2016,1629
8053475328,4/17/2016,3213
8253242879,4/17/2016,2112
8378563200,4/17/2016,2572
8583815059,4/17/2016,2439
8792009665,4/17/2016,1688
8877689391,4/17/2016,3545
1503960366,4/18/2016,1921
1624580081,4/18/2016,1604
1644430081,4/18/2016,2806
1844505072,4/18/2016,1814
1927972279,4/18/2016,2111
2022484408,4/18/2016,2770
2026352035,4/18/2016,1419
2320127002,4/18/2016,1905
2347167796,4/18/2016,1944
2873212765,4/18/2016,1890
3372868164,4/18/2016,2014
3977333714,4/18/2016,1584
4020332650,4/18/2016,1995
4319703577,4/18/2016,1632
4388161847,4/18/2016,3274
4445114986,4/18/2016,2248
4558609924,4/18/2016,2116
4702921684,4/18/2016,3013
5553957443,4/18/2016,1683
5577150313,4/18/2016,3625
6117666160,4/18/2016,2018
6290855005,4/18/2016,2766
6775888955,4/18/2016,2798
6962181067,4/18/2016,2039
7007744171,4/18/2016,2832
7086361926,4/18/2016,2743
8053475328,4/18/2016,3133
8253242879,4/18/2016,1829
8378563200,4/18/2016,4157
8583815059,4/18/2016,2536
8792009665,4/18/2016,1688
8877689391,4/18/2016,2761
1503960366,4/19/2016,2035
1624580081,4/19/2016,1435
1644430081,4/19/2016,3300
1844505072,4/19/2016,1366
1927972279,4/19/2016,2063
2022484408,4/19/2016,2489
2026352035,4/19/2016,1356
2320127002,4/19/2016,1811
2347167796,4/19/2016,2346
2873212765,4/19/2016,1956
3372868164,4/19/2016,1985
3977333714,4/19/2016,1638
4020332650,4/19/2016,1980
4319703577,4/19/2016,2200
4388161847,4/19/2016,3015
4445114986,4/19/2016,1954
4558609924,4/19/2016,1876
4702921684,4/19/2016,2812
5553957443,4/19/2016,2284
5577150313,4/19/2016,3501
6117666160,4/19/2016,2606
6290855005,4/19/2016,2839
6775888955,4/19/2016,1841
6962181067,4/19/2016,2046
7007744171,4/19/2016,2812
7086361926,4/19/2016,2944
8053475328,4/19/2016,3114
8253242879,4/19/2016,1763
8378563200,4/19/2016,4092
8583815059,4/19/2016,2668
8792009665,4/19/2016,1688
8877689391,4/19/2016,3676
1503960366,4/20/2016,1786
1624580081,4/20/2016,1446
1644430081,4/20/2016,2430
1844505072,4/20/2016,1349
1927972279,4/20/2016,2063
2022484408,4/20/2016,2897
2026352035,4/20/2016,1667
2320127002,4/20/2016,1922
2347167796,4/20/2016,2198
2873212765,4/20/2016,2094
3372868164,4/20/2016,1867
3977333714,4/20/2016,1554
4020332650,4/20/2016,1980
4319703577,4/20/2016,2220
4388161847,4/20/2016,3083
4445114986,4/20/2016,1974
4558609924,4/20/2016,1788
4702921684,4/20/2016,3061
5553957443,4/20/2016,1570
5577150313,4/20/2016,3192
6117666160,4/20/2016,2536
6290855005,4/20/2016,2701
6775888955,4/20/2016,3727
6962181067,4/20/2016,2174
7007744171,4/20/2016,3096
7086361926,4/20/2016,2997
8053475328,4/20/2016,3043
8253242879,4/20/2016,1931
8378563200,4/20/2016,3787
8583815059,4/20/2016,2647
8792009665,4/20/2016,2188
8877689391,4/20/2016,3679
1503960366,4/21/2016,1775
1624580081,4/21/2016,1467
1644430081,4/21/2016,2140
1844505072,4/21/2016,2062
1927972279,4/21/2016,2064
2022484408,4/21/2016,3158
2026352035,4/21/2016,1370
2320127002,4/21/2016,1610
2347167796,4/21/2016,2048
2873212765,4/21/2016,1970
3372868164,4/21/2016,2124
3977333714,4/21/2016,1397
4020332650,4/21/2016,1980
4319703577,4/21/2016,1792
4388161847,4/21/2016,3069
4445114986,4/21/2016,2150
4558609924,4/21/2016,2486
4702921684,4/21/2016,2729
5553957443,4/21/2016,2066
5577150313,4/21/2016,4018
6117666160,4/21/2016,4900
6290855005,4/21/2016,2060
6775888955,4/21/2016,1841
6962181067,4/21/2016,2179
7007744171,4/21/2016,2763
7086361926,4/21/2016,2463
8053475328,4/21/2016,3103
8253242879,4/21/2016,2218
8378563200,4/21/2016,4236
8583815059,4/21/2016,2883
8792009665,4/21/2016,1720
8877689391,4/21/2016,3659
1503960366,4/22/2016,1827
1624580081,4/22/2016,1470
1644430081,4/22/2016,2344
1844505072,4/22/2016,1827
1927972279,4/22/2016,2093
2022484408,4/22/2016,2638
2026352035,4/22/2016,1399
2320127002,4/22/2016,1851
2347167796,4/22/2016,1946
2873212765,4/22/2016,2241
3372868164,4/22/2016,1669
3977333714,4/22/2016,1481
4020332650,4/22/2016,1980
4319703577,4/22/2016,1886
4388161847,4/22/2016,3544
4445114986,4/22/2016,2432
4558609924,4/22/2016,2094
4702921684,4/22/2016,2241
5553957443,4/22/2016,2105
5577150313,4/22/2016,3329
6117666160,4/22/2016,2409
6290855005,4/22/2016,2796
6775888955,4/22/2016,1922
6962181067,4/22/2016,2086
7007744171,4/22/2016,2889
7086361926,4/22/2016,2846
8053475328,4/22/2016,2655
8253242879,4/22/2016,1651
8378563200,4/22/2016,4044
8583815059,4/22/2016,2944
8792009665,4/22/2016,2419
8877689391,4/22/2016,3427
